Symbol,Name,Label
A,"Agilent Technologies, Inc.","Agilent Technologies, Inc. (A)"
AA,Alcoa Corporation,Alcoa Corporation (AA)
AAL,"American Airlines Group, Inc.","American Airlines Group, Inc. (AAL)"
AAMC,Altisource Asset Management Corp,Altisource Asset Management Corp (AAMC)
AAN,"Aaron's,  Inc.","Aaron's,  Inc. (AAN)"
AAOI,"Applied Optoelectronics, Inc.","Applied Optoelectronics, Inc. (AAOI)"
AAON,"AAON, Inc.","AAON, Inc. (AAON)"
AAP,Advance Auto Parts Inc,Advance Auto Parts Inc (AAP)
AAPL,Apple Inc.,Apple Inc. (AAPL)
AAT,"American Assets Trust, Inc.","American Assets Trust, Inc. (AAT)"
AAWW,Atlas Air Worldwide Holdings,Atlas Air Worldwide Holdings (AAWW)
ABAX,,ABAX
ABBV,AbbVie Inc.,AbbVie Inc. (ABBV)
ABC,AmerisourceBergen Corporation (Holding Co),AmerisourceBergen Corporation (Holding Co) (ABC)
ABCB,Ameris Bancorp,Ameris Bancorp (ABCB)
ABCO,,ABCO
ABFS,,ABFS
ABG,Asbury Automotive Group Inc,Asbury Automotive Group Inc (ABG)
ABM,ABM Industries Incorporated,ABM Industries Incorporated (ABM)
ABMD,"ABIOMED, Inc.","ABIOMED, Inc. (ABMD)"
ABT,Abbott Laboratories,Abbott Laboratories (ABT)
ACAD,ACADIA Pharmaceuticals Inc.,ACADIA Pharmaceuticals Inc. (ACAD)
ACAS,,ACAS
ACAT,,ACAT
ACC,American Campus Communities Inc,American Campus Communities Inc (ACC)
ACCL,,ACCL
ACCO,Acco Brands Corporation,Acco Brands Corporation (ACCO)
ACE,,ACE
ACET,Aceto Corporation,Aceto Corporation (ACET)
ACFN,,ACFN
ACGL,Arch Capital Group Ltd.,Arch Capital Group Ltd. (ACGL)
ACHC,"Acadia Healthcare Company, Inc.","Acadia Healthcare Company, Inc. (ACHC)"
ACHN,"Achillion Pharmaceuticals, Inc.","Achillion Pharmaceuticals, Inc. (ACHN)"
ACI,,ACI
ACIW,"ACI Worldwide, Inc.","ACI Worldwide, Inc. (ACIW)"
ACLS,"Axcelis Technologies, Inc.","Axcelis Technologies, Inc. (ACLS)"
ACM,AECOM,AECOM (ACM)
ACN,Accenture plc,Accenture plc (ACN)
ACO,,ACO
ACOR,"Acorda Therapeutics, Inc.","Acorda Therapeutics, Inc. (ACOR)"
ACRE,Ares Commercial Real Estate Corporation,Ares Commercial Real Estate Corporation (ACRE)
ACRX,"AcelRx Pharmaceuticals, Inc.","AcelRx Pharmaceuticals, Inc. (ACRX)"
ACTG,Acacia Research Corporation,Acacia Research Corporation (ACTG)
ACW,,ACW
ACXM,,ACXM
ADBE,Adobe Inc.,Adobe Inc. (ADBE)
ADC,Agree Realty Corporation,Agree Realty Corporation (ADC)
ADES,"Advanced Emissions Solutions, Inc.","Advanced Emissions Solutions, Inc. (ADES)"
ADI,"Analog Devices, Inc.","Analog Devices, Inc. (ADI)"
ADM,Archer-Daniels-Midland Company,Archer-Daniels-Midland Company (ADM)
ADMS,"Adamas Pharmaceuticals, Inc.","Adamas Pharmaceuticals, Inc. (ADMS)"
ADNC,,ADNC
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc. (ADP)"
ADS,Alliance Data Systems Corporation,Alliance Data Systems Corporation (ADS)
ADSK,"Autodesk, Inc.","Autodesk, Inc. (ADSK)"
ADT,ADT Inc.,ADT Inc. (ADT)
ADTN,"ADTRAN, Inc.","ADTRAN, Inc. (ADTN)"
ADUS,Addus HomeCare Corporation,Addus HomeCare Corporation (ADUS)
ADVS,,ADVS
AE,"Adams Resources & Energy, Inc.","Adams Resources & Energy, Inc. (AE)"
AEC,,AEC
AEE,Ameren Corporation,Ameren Corporation (AEE)
AEGN,Aegion Corp,Aegion Corp (AEGN)
AEGR,,AEGR
AEIS,"Advanced Energy Industries, Inc.","Advanced Energy Industries, Inc. (AEIS)"
AEL,American Equity Investment Life Holding Company,American Equity Investment Life Holding Company (AEL)
AEO,"American Eagle Outfitters, Inc.","American Eagle Outfitters, Inc. (AEO)"
AEP,"American Electric Power Company, Inc.","American Electric Power Company, Inc. (AEP)"
AEPI,,AEPI
AERI,"Aerie Pharmaceuticals, Inc.","Aerie Pharmaceuticals, Inc. (AERI)"
AES,The AES Corporation,The AES Corporation (AES)
AET,Aetna Inc.,Aetna Inc. (AET)
AF,,AF
AFAM,,AFAM
AFFX,,AFFX
AFG,"American Financial Group, Inc.","American Financial Group, Inc. (AFG)"
AFH,"Atlas Financial Holdings, Inc.","Atlas Financial Holdings, Inc. (AFH)"
AFL,Aflac Incorporated,Aflac Incorporated (AFL)
AFOP,,AFOP
AFSI,"AmTrust Financial Services, Inc.","AmTrust Financial Services, Inc. (AFSI)"
AGCO,AGCO Corporation,AGCO Corporation (AGCO)
AGEN,Agenus Inc.,Agenus Inc. (AGEN)
AGII,,AGII
AGIO,"Agios Pharmaceuticals, Inc.","Agios Pharmaceuticals, Inc. (AGIO)"
AGM,Federal Agricultural Mortgage Corporation,Federal Agricultural Mortgage Corporation (AGM)
AGN,Allergan plc.,Allergan plc. (AGN)
AGNC,AGNC Investment Corp.,AGNC Investment Corp. (AGNC)
AGO,Assured Guaranty Ltd.,Assured Guaranty Ltd. (AGO)
AGTC,Applied Genetic Technologies Corporation,Applied Genetic Technologies Corporation (AGTC)
AGX,"Argan, Inc.","Argan, Inc. (AGX)"
AGYS,"Agilysys, Inc.","Agilysys, Inc. (AGYS)"
AHC,A.H. Belo Corporation,A.H. Belo Corporation (AHC)
AHH,"Armada Hoffler Properties, Inc.","Armada Hoffler Properties, Inc. (AHH)"
AHL,Aspen Insurance Holdings Limited,Aspen Insurance Holdings Limited (AHL)
AHP,,AHP
AHS,,AHS
AHT,Ashford Hospitality Trust Inc,Ashford Hospitality Trust Inc (AHT)
AI,Arlington Asset Investment Corp,Arlington Asset Investment Corp (AI)
AIG,"American International Group, Inc.","American International Group, Inc. (AIG)"
AIMC,Altra Industrial Motion Corp.,Altra Industrial Motion Corp. (AIMC)
AIN,Albany International Corporation,Albany International Corporation (AIN)
AINV,Apollo Investment Corporation,Apollo Investment Corporation (AINV)
AIQ,Global X Future Analytics Tech ETF,Global X Future Analytics Tech ETF (AIQ)
AIR,AAR Corp.,AAR Corp. (AIR)
AIRM,,AIRM
AIT,"Applied Industrial Technologies, Inc.","Applied Industrial Technologies, Inc. (AIT)"
AIV,Apartment Investment and Management Company,Apartment Investment and Management Company (AIV)
AIZ,"Assurant, Inc.","Assurant, Inc. (AIZ)"
AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co. (AJG)
AKAM,"Akamai Technologies, Inc.","Akamai Technologies, Inc. (AKAM)"
AKAO,"Achaogen, Inc.","Achaogen, Inc. (AKAO)"
AKBA,"Akebia Therapeutics, Inc.","Akebia Therapeutics, Inc. (AKBA)"
AKR,Acadia Realty Trust,Acadia Realty Trust (AKR)
AKRX,"Akorn, Inc.","Akorn, Inc. (AKRX)"
AKS,AK Steel Holding Corporation,AK Steel Holding Corporation (AKS)
AL,Air Lease Corporation,Air Lease Corporation (AL)
ALB,Albemarle Corporation,Albemarle Corporation (ALB)
ALCO,"Alico, Inc.","Alico, Inc. (ALCO)"
ALDR,"Alder BioPharmaceuticals, Inc.","Alder BioPharmaceuticals, Inc. (ALDR)"
ALE,"Allete, Inc.","Allete, Inc. (ALE)"
ALEX,"Alexander & Baldwin, Inc.","Alexander & Baldwin, Inc. (ALEX)"
ALG,"Alamo Group, Inc.","Alamo Group, Inc. (ALG)"
ALGN,"Align Technology, Inc.","Align Technology, Inc. (ALGN)"
ALGT,Allegiant Travel Company,Allegiant Travel Company (ALGT)
ALIM,"Alimera Sciences, Inc.","Alimera Sciences, Inc. (ALIM)"
ALJ,,ALJ
ALK,"Alaska Air Group, Inc.","Alaska Air Group, Inc. (ALK)"
ALKS,Alkermes plc,Alkermes plc (ALKS)
ALL,Allstate Corporation (The),Allstate Corporation (The) (ALL)
ALLE,Allegion plc,Allegion plc (ALLE)
ALNY,"Alnylam Pharmaceuticals, Inc.","Alnylam Pharmaceuticals, Inc. (ALNY)"
ALOG,,ALOG
ALR,,ALR
ALSN,"Allison Transmission Holdings, Inc.","Allison Transmission Holdings, Inc. (ALSN)"
ALTR,Altair Engineering Inc.,Altair Engineering Inc. (ALTR)
ALX,"Alexander's, Inc.","Alexander's, Inc. (ALX)"
